t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff
8,12,5,3,3,gcn,3,0,6,0,1.0,1.0,20
85,87,6,84,85,gcn,84,0,7056,0,1.0,1.0,10
114,115,5,15,15,gcn,15,0,210,0,1.0,1.0,5
33,37,5,5,6,gcn,5,0,25,0,1.0,1.0,20
71,73,6,49,52,gcn,49,0,2499,0,1.0,1.0,10
52,54,5,8,8,gcn,8,0,56,0,1.0,1.0,10
20,21,5,3,3,gcn,3,0,6,0,1.0,1.0,5
142,144,5,24,24,gcn,24,0,552,0,1.0,1.0,10
30,31,5,5,5,gcn,5,0,20,0,1.0,1.0,5
59,60,5,8,8,gcn,8,0,56,0,1.0,1.0,5
44,46,5,7,7,gcn,7,0,42,0,1.0,1.0,10
178,179,5,38,38,gcn,38,0,1406,0,1.0,1.0,5
157,160,5,29,31,gcn,28,1,869,1,0.9977753058954394,0.9655172413793104,15
77,78,5,10,10,gcn,10,0,90,0,1.0,1.0,5
66,70,6,43,47,gcn,40,3,1975,3,0.9970311726867888,0.9302325581395349,20
91,92,5,11,11,gcn,11,0,110,0,1.0,1.0,5
130,133,5,23,23,gcn,23,0,506,0,1.0,1.0,15
105,109,5,14,14,gcn,14,0,182,0,1.0,1.0,20
20,23,6,7,9,gcn,7,0,56,0,1.0,1.0,15
83,85,6,78,84,gcn,78,0,6474,0,1.0,1.0,10
26,29,5,4,4,gcn,4,0,12,0,1.0,1.0,15
35,39,5,6,7,gcn,6,0,36,0,1.0,1.0,20
88,92,6,91,112,gcn,89,2,10099,2,0.999607535321821,0.978021978021978,20
144,147,5,24,26,gcn,24,0,600,0,1.0,1.0,15
30,33,5,5,5,gcn,5,0,20,0,1.0,1.0,15
174,177,5,36,37,gcn,34,2,1294,2,0.996996996996997,0.9444444444444444,15
57,59,6,30,32,gcn,30,0,930,0,1.0,1.0,10
162,164,5,33,34,gcn,33,0,1089,0,1.0,1.0,10
52,53,6,26,26,gcn,26,0,650,0,1.0,1.0,5
68,69,5,9,9,gcn,9,0,72,0,1.0,1.0,5
134,136,5,23,23,gcn,23,0,506,0,1.0,1.0,10
28,29,5,4,4,gcn,4,0,12,0,1.0,1.0,5
164,167,5,34,35,gcn,34,0,1156,0,1.0,1.0,15
83,84,6,78,81,gcn,78,0,6240,0,1.0,1.0,5
32,36,5,5,6,gcn,5,0,25,0,1.0,1.0,20
73,74,6,52,54,gcn,52,0,2756,0,1.0,1.0,5
95,96,5,12,12,gcn,12,0,132,0,1.0,1.0,5
84,86,5,10,10,gcn,10,0,90,0,1.0,1.0,10
107,108,5,14,14,gcn,14,0,182,0,1.0,1.0,5
14,18,5,3,3,gcn,3,0,6,0,1.0,1.0,20
72,74,6,50,54,gcn,50,0,2650,0,1.0,1.0,10
15,17,5,3,3,gcn,3,0,6,0,1.0,1.0,10
163,165,5,33,34,gcn,33,0,1089,0,1.0,1.0,10
2,6,5,2,3,gcn,2,0,4,0,1.0,1.0,20
53,57,5,8,8,gcn,8,0,56,0,1.0,1.0,20
33,36,6,12,14,gcn,11,1,155,1,0.9880952380952381,0.9166666666666666,15
62,66,5,8,9,gcn,8,0,64,0,1.0,1.0,20
94,97,5,12,12,gcn,12,0,132,0,1.0,1.0,15
49,53,5,8,8,gcn,8,0,56,0,1.0,1.0,20
148,152,5,26,28,gcn,26,0,702,0,1.0,1.0,20
73,77,5,9,10,gcn,9,0,81,0,1.0,1.0,20
148,151,5,26,28,gcn,26,0,702,0,1.0,1.0,15
62,63,6,36,37,gcn,36,0,1296,0,1.0,1.0,5
13,15,5,3,3,gcn,3,0,6,0,1.0,1.0,10
177,180,5,37,38,gcn,37,0,1369,0,1.0,1.0,15
89,92,5,11,11,gcn,11,0,110,0,1.0,1.0,15
34,37,6,12,14,gcn,11,1,155,1,0.9880952380952381,0.9166666666666666,15
11,15,6,6,6,gcn,6,0,30,0,1.0,1.0,20
109,111,5,14,14,gcn,14,0,182,0,1.0,1.0,10
72,73,6,50,52,gcn,50,0,2550,0,1.0,1.0,5
4,7,6,3,4,gcn,3,0,9,0,1.0,1.0,15
15,19,6,6,7,gcn,6,0,36,0,1.0,1.0,20
132,134,5,23,23,gcn,23,0,506,0,1.0,1.0,10
123,127,5,21,22,gcn,21,0,441,0,1.0,1.0,20
61,63,5,8,9,gcn,8,0,64,0,1.0,1.0,10
41,43,5,7,7,gcn,7,0,42,0,1.0,1.0,10
129,130,5,23,23,gcn,23,0,506,0,1.0,1.0,5
69,71,5,9,9,gcn,9,0,72,0,1.0,1.0,10
100,103,5,13,14,gcn,13,0,169,0,1.0,1.0,15
56,57,5,8,8,gcn,8,0,56,0,1.0,1.0,5
20,22,5,3,3,gcn,3,0,6,0,1.0,1.0,10
50,53,6,23,26,gcn,22,1,574,1,0.9966555183946488,0.9565217391304348,15
60,64,6,33,41,gcn,33,0,1320,0,1.0,1.0,20
13,16,5,3,3,gcn,3,0,6,0,1.0,1.0,15
2,6,6,3,4,gcn,3,0,9,0,1.0,1.0,20
148,149,5,26,27,gcn,26,0,676,0,1.0,1.0,5
85,89,5,10,11,gcn,10,0,100,0,1.0,1.0,20
